country,company,wiki_url,official_sites,possible_official_sites,status_note,company_summary,founded_year,headquarters,products,employees,revenue
Africa,All Joy Foods,https://en.wikipedia.org/wiki/All_Joy_Foods,http://www.alljoy.co.za,,Confirmed,"All Joy Foods Limited is a South African manufacturer of condiments and tomato sauce. The company was founded in 1987 by Marci Pather after he successfully raised R135 thousand. Its first plant was opened in Newtown, a suburb of Johannesburg, and its first product was tomato sauce. All Joy is South ...",,,,,
Africa,Bakers,https://en.wikipedia.org/wiki/Bakers_(bakery),http://www.bakers.co.za,,Confirmed,"Bakers Limited, commonly known as Bakers, is a South African food manufacturing company that produces a wide variety of savoury and sweet biscuits. Bakers is part of National Brands Limited, an FMCG company which is a subsidiary of South African holding company AVI Limited. Bakers products are manuf...",1851.0,"Johannesburg, South Africa",Biscuits,,
Africa,BOS Ice Tea,https://en.wikipedia.org/wiki/BOS_Ice_Tea,http://www.bosbrands.com,,Confirmed,"BOS is a South African based ice tea brand that uses organic rooibos as the primary ingredient. The company was established by Grant Rushmere and Richard Bowsher, a rooibos tea farmer and an entrepreneur, respectively. The initial selection of ice teas was introduced in June 2010. BOS's headquarters...",2010.0,"Woodstock, Cape Town, South Africa",,,
Africa,Cevital,https://en.wikipedia.org/wiki/Cevital,http://www.cevital.com,,Confirmed,"Cevital is the largest private conglomerate in Algeria, with interests in the agri-food sector, retail, industry and services, created by Issad Rebrab. The company's headquarters are in Kouba, Algeria. Cevital is a founding member of the Desertec project. The company's earnings in 2009 were US$3,589...",1998.0,"Kouba, Algeria","Food processing, food distribution, glass production, home appliance","18,000","US$ 3,260 millions  (2013)"
Africa,Choppies,https://en.wikipedia.org/wiki/Choppies,https://choppiesgroup.com/,,Confirmed,"Choppies Enterprises Limited is a Botswana multinational supermarket retailer headquartered in Gaborone, Botswana. The retailer initially sold only food-based goods (both fresh groceries and wholesale long-life foods) and other fast-moving consumer goods. By 2024, Choppies had 161 stores in 4 countr...",1986.0,"Gaborone, Botswana","Hyper stores, Super stores and Value stores",9 385 (As of December 2020),BWP 5.42 billion (half year ending Dec 20)
Africa,Clover,https://en.wikipedia.org/wiki/Clover_Industries,,,Manual Check Required,"Clover Industries Limited (""Group"" and/or ""Clover"") is a branded foods and beverages group that used to be listed on the main board of the Johannesburg Stock Exchange. The company was delisted after a takeover by Milco, led by the Central Bottling Company from Israel.",,"Johannesburg, South Africa",,"± 50,000",
Africa,Colcom Foods,https://en.wikipedia.org/wiki/Colcom_Foods,https://web.archive.org/web/20180419011800/http://www.colcomfoods.com/,,Confirmed,"Colcom Foods Limited is a long established meat-processing company in Zimbabwe. Products under the Colcom brand include: fresh pork, hams, bacons, fresh and cooked sausages, pies, cooked cold meat, and polonies. It also has Colcom country style boerewors, Colcom chipolata sausages, Colcom park lion ...",,"Harare, Zimbabwe","Meat, ,, pork, ,, beef, ,, chicken",,
Africa,Distell Group Limited,https://en.wikipedia.org/wiki/Distell_Group_Limited,,http://www.distell.co.za/,Potential,"Distell Group Limited, commonly referred to as Distell, was a multinational brewing and beverage company, based in South Africa. On April 26, 2023, Distell was acquired by Heineken. After that, its operations were integrated into Heineken Beverages, a company created by the merger of its South Afric...",2000.0,"Stellenbosch, South Africa",,"5,300 (2014)",ZAR 17.7 Billion (2014)  The shareholding as at 31 March 2014 is shown below:
Africa,Famous Brands,https://en.wikipedia.org/wiki/Famous_Brands,http://www.famousbrands.co.za,,Confirmed,"Famous Brands (formerly known as Steers Group) is a South African-based conglomerate predominantly dealing in fast casual restaurants, and is currently headquartered in Midrand. Founded in 1960, the company operates around 3,000 locations across 30 countries, and listed on the JSE Limited in 1994. I...",1960.0,"Midrand, Gauteng, South Africa",,,R 8.28 billion (2025)
Africa,Golden Web,https://en.wikipedia.org/wiki/Golden_Web_(company),http://goldenwebgh.com/gweb/index_us.html,,Confirmed,"Golden Web is a Ghanaian food company. They are listed on the stock index of the Ghana Stock Exchange, the GSE All-Share Index. It formed on May 5, 1982.",1982.0,"Agogo, Kumasi, Ashanti, Ghana",,,
Africa,Kenya Wine Agencies Limited,https://en.wikipedia.org/wiki/Kenya_Wine_Agencies_Limited,http://www.kwal.co.ke/,,Confirmed,"Kenya Wine Agencies Limited (KWAL), is a first line manufacturer, importer and distributor of wine, spirits and non-alcoholic beverages",1969.0,"Nairobi, Kenya","Wine, Spirits & Juices",229 (2021),
Africa,Les Domaines Agricoles,https://en.wikipedia.org/wiki/Les_Domaines_Agricoles,http://www.lesdomainesagricoles.com,,Confirmed,"Les Domaines Agricoles (known until 2003 as Les Domaines Royaux) is the largest agribusiness firm in Morocco. It belongs to SIGER, the holding company of King Mohammed VI. According to reports the company controls 12,000 hectares of irrigated lands in Morocco. The company was established in 1960. Be...",,"5, Route d'Azemmour, Casablanca 21000 - BP 15634, Morocco",,,$157 million (2008)
Africa,Meat Corporation of Namibia,https://en.wikipedia.org/wiki/Meat_Corporation_of_Namibia,https://www.meatco.com.na/,,Confirmed,"Meat Corporation of Namibia, locally known as MeatCo, is a meat processing company headquartered in Windhoek, the capital of Namibia. It is the largest exporter of prime beef in Namibia.",1986.0,"Windhoek, Namibia",Beef,743 (2018),
Africa,Melcom,https://en.wikipedia.org/wiki/Melcom,,,Manual Check Required,"Melcom is a supermarket chain consisting of 65 shops spread all over Ghana. It was started in 1989 by Indian magnate Bhagwan Khubchandani. His late father, Ramchand Khubchandani, had arrived in the then Gold Coast in 1929 as a 14-year-old to work as a store boy. Melcom Group of Companies is a family...",1989.0,"North Industrial Area, P.O. Box 3920, Accra, Ghana","Supermarket, Hypermarket, Superstore",,
